,index,rank,university,province
0,1,1,清华大学,北京
1,2,2,北京大学,北京
2,3,3,浙江大学,浙江
3,4,4,上海交通大学,上海
4,5,5,复旦大学,上海
5,6,6,中国科学技术大学,安徽
6,7,7,南京大学,江苏
7,8,8,华中科技大学,湖北
8,9,9,中山大学,广东
9,10,10,哈尔滨工业大学,黑龙江
10,11,11,同济大学,上海
11,12,12,武汉大学,湖北
12,13,13,东南大学,江苏
13,14,14,西安交通大学,陕西
14,15,15,北京航空航天大学,北京
15,16,16,南开大学,天津
16,17,17,四川大学,四川
17,18,18,天津大学,天津
18,19,19,华南理工大学,广东
19,20,20,北京师范大学,北京
20,21,21,北京理工大学,北京
21,22,22,厦门大学,福建
22,23,23,吉林大学,吉林
23,24,24,山东大学,山东
24,25,25,大连理工大学,辽宁
25,26,26,中南大学,湖南
26,27,27,苏州大学,江苏
27,28,28,对外经济贸易大学,北京
28,29,29,西北工业大学,陕西
29,30,30,中国人民大学,北京
30,31,31,湖南大学,湖南
31,32,32,华东师范大学,上海
32,33,33,电子科技大学,四川
33,34,34,华东理工大学,上海
34,35,35,重庆大学,重庆
35,36,35,南京航空航天大学,江苏
36,37,37,北京科技大学,北京
37,38,37,南京理工大学,江苏
38,39,39,上海财经大学,上海
39,40,40,中国农业大学,北京
40,41,41,上海大学,上海
41,42,42,东北大学,辽宁
42,43,43,华中师范大学,湖北
43,44,43,南方科技大学,广东
44,45,45,北京交通大学,北京
45,46,46,首都医科大学,北京
46,47,47,武汉理工大学,湖北
47,48,48,北京化工大学,北京
48,49,48,北京邮电大学,北京
49,50,48,东华大学,上海
50,51,51,北京外国语大学,北京
51,52,52,天津医科大学,天津
52,53,52,中央财经大学,北京
53,54,54,西安电子科技大学,陕西
54,55,55,南京医科大学,江苏
55,56,56,暨南大学,广东
56,57,57,兰州大学,甘肃
57,58,58,江南大学,江苏
58,59,59,华北电力大学,北京
59,60,60,中国海洋大学,山东
60,61,61,哈尔滨工程大学,黑龙江
61,62,61,中国地质大学（武汉）,湖北
62,63,63,华中农业大学,湖北
63,64,63,南京师范大学,江苏
64,65,65,东北师范大学,吉林
65,66,66,西南财经大学,四川
66,67,67,福州大学,福建
67,68,67,中国药科大学,江苏
68,69,69,中国地质大学（北京）,北京
69,70,70,上海外国语大学,上海
70,71,71,南京农业大学,江苏
71,72,72,北京工业大学,北京
72,73,72,河海大学,江苏
73,74,74,西南交通大学,四川
74,75,74,中国医科大学,辽宁
75,76,76,西南大学,重庆
76,77,77,南方医科大学,广东
77,78,77,中南财经政法大学,湖北
78,79,79,南京信息工程大学,江苏
79,80,80,江苏大学,江苏
80,81,80,中国石油大学（华东）,山东
81,82,82,合肥工业大学,安徽
82,83,83,上海中医药大学,上海
83,84,83,中国矿业大学,江苏
84,85,85,浙江工业大学,浙江
85,86,86,北京中医药大学,北京
86,87,86,华侨大学,福建
87,88,86,西北农林科技大学,陕西
88,89,89,北京林业大学,北京
89,90,89,东北财经大学,辽宁
90,91,91,南京邮电大学,江苏
91,92,91,深圳大学,广东
92,93,91,中央民族大学,北京
93,94,94,南京工业大学,江苏
94,95,94,中国政法大学,北京
95,96,96,大连医科大学,辽宁
96,97,97,中国石油大学（北京）,北京
97,98,98,西北大学,陕西
98,99,98,中国传媒大学,北京
99,100,100,宁波大学,浙江
100,101,100,扬州大学,江苏
101,102,102,华南师范大学,广东
102,103,102,陕西师范大学,陕西
103,104,104,浙江师范大学,浙江
104,105,105,首都经济贸易大学,北京
105,106,105,西交利物浦大学,江苏
106,107,107,首都师范大学,北京
107,108,107,浙江理工大学,浙江
108,109,109,广东外语外贸大学,广东
109,110,110,湖南师范大学,湖南
110,111,110,汕头大学,广东
111,112,110,燕山大学,河北
112,113,113,杭州电子科技大学,浙江
113,114,114,广西医科大学,广西
114,115,115,南京财经大学,江苏
115,116,115,中国矿业大学（北京）,北京
116,117,117,哈尔滨医科大学,黑龙江
117,118,118,安徽大学,安徽
118,119,118,河北医科大学,河北
119,120,120,湖北大学,湖北
120,121,121,河北工业大学,河北
121,122,121,云南大学,云南
122,123,123,大连海事大学,辽宁
123,124,123,上海理工大学,上海
124,125,125,湘潭大学,湖南
125,126,126,长安大学,陕西
126,127,126,杭州师范大学,浙江
127,128,128,太原理工大学,山西
128,129,129,重庆医科大学,重庆
129,130,130,浙江工商大学,浙江
130,131,131,沈阳药科大学,辽宁
131,132,132,上海对外经贸大学,上海
132,133,132,温州医科大学,浙江
133,134,134,上海师范大学,上海
134,135,135,南昌大学,江西
135,136,135,浙江财经大学,浙江
136,137,137,广西大学,广西
137,138,137,江西财经大学,江西
138,139,137,辽宁大学,辽宁
139,140,137,青岛大学,山东
140,141,137,武汉科技大学,湖北
141,142,142,东北农业大学,黑龙江
142,143,143,华南农业大学,广东
143,144,144,广东工业大学,广东
144,145,145,山西大学,山西
145,146,146,安徽医科大学,安徽
146,147,147,东北林业大学,黑龙江
147,148,147,徐州医科大学,江苏
148,149,147,郑州大学,河南
149,150,150,广州医科大学,广东
150,151,150,三峡大学,湖北
151,152,152,黑龙江大学,黑龙江
152,153,153,上海海事大学,上海
153,154,154,福建医科大学,福建
154,155,154,河北大学,河北
155,156,154,江苏师范大学,江苏
156,157,157,广西师范大学,广西
157,158,157,济南大学,山东
158,159,157,石家庄铁道大学,河北
159,160,157,天津师范大学,天津
160,161,161,北京体育大学,北京
161,162,161,武汉工程大学,湖北
162,163,163,北京工商大学,北京
163,164,164,天津财经大学,天津
164,165,165,北京物资学院,北京
165,166,165,天津工业大学,天津
166,167,167,长沙理工大学,湖南
167,168,167,中南民族大学,湖北
168,169,169,渤海大学,辽宁
169,170,169,湖北工业大学,湖北
170,171,169,南京审计大学,江苏
171,172,169,南京中医药大学,江苏
172,173,173,河北师范大学,河北
173,174,173,河南大学,河南
174,175,173,中国人民公安大学,北京
175,176,176,广州大学,广东
176,177,176,山东师范大学,山东
177,178,176,四川农业大学,四川
